Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-06-27,160.0,902.0,454.0,6,27,0,0,32.0,233.0,93.0,301.0,65.0,471.0,657.0,360.0,748.0,0,1,0,0,0,0,0
2023-06-28,0.0,439.0,303.0,6,28,0,1,160.0,223.5,140.0,454.0,0.0,30.0,902.0,314.5,190.0,0,0,1,0,0,0,0
2023-06-29,0.0,339.0,124.0,6,29,0,1,0.0,16.0,0.0,303.0,330.0,362.0,439.0,842.75,250.0,0,0,0,1,0,0,0
2023-06-30,0.0,475.0,39.0,6,30,1,1,0.0,78.0,0.0,124.0,70.0,510.0,339.0,943.0,80.0,0,0,0,0,1,0,0
2023-07-01,0.0,402.0,181.5,7,1,1,0,0.0,0.0,0.0,39.0,258.0,55.0,475.0,478.0,95.0,0,0,0,0,0,1,0
2023-07-02,0.0,472.0,125.0,7,2,0,0,0.0,0.0,340.0,181.5,237.0,10.0,402.0,112.0,533.9,0,0,0,0,0,0,1
2023-07-03,121.2,556.0,176.0,7,3,0,0,0.0,32.0,223.0,125.0,301.0,420.0,472.0,657.0,701.0,1,0,0,0,0,0,0
2023-07-04,0.0,584.5,360.0,7,4,0,0,121.2,160.0,195.0,176.0,454.0,1013.0,556.0,902.0,458.5,0,1,0,0,0,0,0
2023-07-05,38.0,286.0,67.5,7,5,0,0,0.0,0.0,0.0,360.0,303.0,587.0,584.5,439.0,46.0,0,0,1,0,0,0,0
2023-07-06,0.0,300.0,120.5,7,6,0,0,38.0,0.0,0.0,67.5,124.0,130.0,286.0,339.0,48.0,0,0,0,1,0,0,0
2023-07-07,240.5,638.0,216.0,7,7,1,0,0.0,0.0,0.0,120.5,39.0,40.0,300.0,475.0,433.0,0,0,0,0,1,0,0
2023-07-08,117.0,258.5,48.0,7,8,1,0,240.5,0.0,0.0,216.0,181.5,78.0,638.0,402.0,205.0,0,0,0,0,0,1,0
2023-07-09,78.0,174.5,280.0,7,9,0,0,117.0,0.0,0.0,48.0,125.0,142.0,258.5,472.0,684.0,0,0,0,0,0,0,1
2023-07-10,98.2,1569.0,382.0,7,10,0,0,78.0,121.2,0.0,280.0,176.0,118.0,174.5,556.0,326.0,1,0,0,0,0,0,0
2023-07-11,93.0,102.5,235.0,7,11,0,0,98.2,0.0,96.0,382.0,360.0,40.0,1569.0,584.5,91.75,0,1,0,0,0,0,0
2023-07-12,0.0,334.0,417.0,7,12,0,0,93.0,38.0,0.0,235.0,67.5,305.0,102.5,286.0,556.0,0,0,1,0,0,0,0
